candidate,mean_rmse_s,mean_mae_s,mean_r2,mean_nonzero_terms
bilinear,0.3301510737061829,0.20723372997619105,0.7990897504611887,3.0
bilinear-hlog,0.32054474363880425,0.18314160874386895,0.8106011929525356,4.0
bilinear-blog,0.33255155832749295,0.2073856742519264,0.7967713514053313,3.8
bilinear-log,0.3217233183777418,0.18399952406544143,0.8097791847398506,4.8
