rank,run-dir,plan-id,bbar,hbar,done,return-cost,predicted-q,physical-q,residual-q,error
455,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-385_20260614T213311,mpc-2634-22-lambda-0.633,0.6327638425284032,0.05635392181970583,False,214.1680450439453,197.39634704589844,4.0603132247924805,193.33602905273438,-16.771697998046875
456,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-49_20260614T204733,mpc-1640-14-lambda-0.455,0.45537117410496597,0.09597358256889982,False,151.73281860351562,197.40670776367188,5.6461896896362305,191.76051330566406,45.67388916015625
457,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-387_20260614T213331,mpc-165-1-lambda-0.949,0.9487098373452378,0.2624708248217911,False,160.16168212890625,197.54209899902344,28.760046005249023,168.7820587158203,37.38041687011719
458,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-351_20260614T023825,mpc-2915-31-lambda-0.423,0.422852623089578,0.05685958802116467,False,159.76124572753906,198.2539520263672,4.270228385925293,193.9837188720703,38.492706298828125
459,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-437_20260614T025016,mpc-1618-16-lambda-0.505,0.505259008289712,0.27289658599959227,False,218.62078857421875,198.45077514648438,19.564783096313477,178.885986328125,-20.170013427734375
460,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-273_20260614T211739,mpc-1520-19-lambda-0.904,0.9036163123714855,0.4536623377486785,False,148.7101287841797,198.80819702148438,57.07845687866211,141.729736328125,50.09806823730469
461,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-304_20260614T212156,mpc-177-2-lambda-0.091,0.09064573181829104,0.579094784008554,False,343.7539367675781,199.0634002685547,18.769062042236328,180.29434204101562,-144.69053649902344
462,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-222_20260614T022125,mpc-1845-17-lambda-0.192,0.1921939673041385,0.8276901852848733,False,148.86431884765625,199.63616943359375,41.43077850341797,158.20538330078125,50.7718505859375
463,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-45_20260614T204640,mpc-1519-12-lambda-0.068,0.06842254167407236,0.7309877097263527,False,211.69029235839844,200.0908660888672,23.206022262573242,176.8848419189453,-11.59942626953125
464,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-220_20260614T022118,mpc-330-5-lambda-0.326,0.3264780342756466,0.7278687014936139,False,77.15385437011719,200.42660522460938,50.989173889160156,149.43743896484375,123.27275085449219
465,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-66_20260614T020112,mpc-90-1-lambda-0.315,0.3145366408933176,0.2026144616971637,False,100.74168395996094,200.70420837402344,10.041685104370117,190.6625213623047,99.9625244140625
466,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-113_20260614T020738,mpc-266-3-lambda-0.822,0.8217061203485553,0.45672298663807565,False,136.74356079101562,200.9332733154297,52.55484390258789,148.37843322753906,64.18971252441406
467,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-336_20260614T212603,mpc-1554-16-lambda-0.148,0.14756329353142497,0.8394273571675983,False,141.5518035888672,200.9622802734375,37.71484375,163.2474365234375,59.41047668457031
468,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-359_20260614T212926,mpc-1540-16-lambda-0.838,0.8383893521691941,0.044093084573110466,False,298.81829833984375,201.72203063964844,4.825345993041992,196.8966827392578,-97.09626770019531
469,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-31_20260614T015626,mpc-73-2-lambda-0.768,0.7679041429825377,0.8002662271886029,True,100.53042602539062,202.37725830078125,101.54495239257812,100.83230590820312,101.84683227539062
470,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-273_20260614T211739,mpc-1476-18-lambda-0.333,0.3326671889910107,0.21885989549132595,False,166.2625274658203,202.4792022705078,11.078986167907715,191.4002227783203,36.2166748046875
471,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-193_20260614T021758,mpc-1705-15-lambda-0.947,0.9473845751335095,0.6555096042534312,False,130.65235900878906,202.64625549316406,91.00265502929688,111.64360046386719,71.993896484375
472,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-242_20260614T022357,mpc-611-7-lambda-0.369,0.36887496306493955,0.4447090457085985,False,223.17034912109375,203.04788208007812,27.789325714111328,175.25856018066406,-20.122467041015625
473,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-257_20260614T022606,mpc-1255-14-lambda-0.21,0.209507370141945,0.32943049821662157,False,132.29713439941406,203.057373046875,15.575263977050781,187.48211669921875,70.76023864746094
474,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-91_20260614T205320,mpc-1241-13-lambda-0.34,0.33970573199160187,0.6618804239184598,False,216.71434020996094,203.121826171875,46.2877311706543,156.83409118652344,-13.592514038085938
475,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-152_20260614T021306,mpc-1784-14-lambda-0.985,0.9847677120890858,0.753947896109697,False,241.9529571533203,203.265625,126.06453704833984,77.20108795166016,-38.68733215332031
476,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-41_20260614T015747,mpc-2012-18-lambda-0.782,0.7816639095385799,0.04050807261042437,False,224.6724395751953,203.32847595214844,3.802739381790161,199.52574157714844,-21.343963623046875
