snapshot_index,snapshot_name,snapshot_dir,status,goal_reached,total_steps,completion_time_s,solver_compute_time_s,environment_step_wall_time_s,total_wall_time_s,torque_abs_integral_nm_s,torque_signed_integral_nm_s,mean_abs_torque_nm,rl_segments,mean_bbar,mean_hbar,mean_burst_steps,mean_horizon_steps,final_theta_rad,final_omega_rad_s
40,online-critic_20260630T202838778387,artifacts/model-snapshots/online-critic_20260630T202838778387,max_steps_reached,False,3000,30.0,22.76115944821504,0.1637629280157853,24.254419582983246,0.627802055052302,-0.5921682108022922,0.020926735168410066,1966,0.03415564598168871,0.0030137334689725333,1.0,1.570701932858596,4.667909958928148,2.0389693771094235
41,online-critic_20260630T202904854474,artifacts/model-snapshots/online-critic_20260630T202904854474,max_steps_reached,False,3000,30.0,21.497847334336257,0.15898010757518932,22.885185209015617,0.38039589698328935,-0.25959938450574455,0.01267986323277631,1858,0.0002960172228202368,0.003202368137782562,1.0,1.6194833153928956,4.798848840048637,0.7626907160369815
42,online-critic_20260630T202949187618,artifacts/model-snapshots/online-critic_20260630T202949187618,max_steps_reached,False,3000,30.0,21.17813293711515,0.1566037925076671,22.50580883299699,0.5069745956823729,-0.4130132849174652,0.01689915318941243,1795,0.02686629526462396,0.0036211699164345403,1.0,1.6958217270194986,4.692322336917601,1.8497778995922731
43,online-critic_20260630T203020293977,artifacts/model-snapshots/online-critic_20260630T203020293977,max_steps_reached,False,3000,30.0,31.261397625814425,0.18866450907080434,33.259799040999496,0.0,0.0,0.0,3000,0.0,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
44,online-critic_20260630T203050517396,artifacts/model-snapshots/online-critic_20260630T203050517396,max_steps_reached,False,3000,30.0,21.703912456316175,0.15639156303950585,23.059003875008784,0.37540347479316266,-0.2645900708177828,0.012513449159772089,1878,0.0345580404685836,0.003181576144834931,1.0,1.6160809371671991,4.780785714303892,0.9042914460949527
45,online-critic_20260630T203113087129,artifacts/model-snapshots/online-critic_20260630T203113087129,max_steps_reached,False,3000,30.0,14.202062001713784,0.12716539279790595,15.024245916982181,0.5202980597349486,0.2802982221676145,0.01734326865783162,631,0.009548335974643423,0.03185419968304279,1.0,7.305863708399366,4.705151966454592,1.8232414593247512
46,online-critic_20260630T203151930631,artifacts/model-snapshots/online-critic_20260630T203151930631,max_steps_reached,False,3000,30.0,21.79828667960828,0.1632171919918619,23.25970579200657,0.2599925668161414,0.019992698249218257,0.00866641889387138,1898,0.2143440463645943,0.0030426765015806115,1.0,1.5948366701791359,4.7696791441813415,-0.7786569888226099
47,online-critic_20260630T203220013601,artifacts/model-snapshots/online-critic_20260630T203220013601,max_steps_reached,False,3000,30.0,24.502439767238684,0.16313033274491318,26.234977166022873,0.16999320291497025,-0.09000629674429707,0.005666440097165675,2202,0.3016008174386921,0.0023387829246139876,1.0,1.4604904632152589,4.48178037085386,-2.3148863038829695
48,online-critic_20260630T203254164781,artifacts/model-snapshots/online-critic_20260630T203254164781,max_steps_reached,False,3000,30.0,31.13877120896359,0.18944006125093438,33.206420458998764,0.0,0.0,0.0,3000,0.03575,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
49,online-critic_20260630T203329892195,artifacts/model-snapshots/online-critic_20260630T203329892195,max_steps_reached,False,3000,30.0,30.99798021611059,0.18597341168788262,33.068029541987926,0.0,0.0,0.0,3000,0.2885583333333333,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
