candidate,mean_rmse_s,mean_mae_s,mean_r2,mean_nonzero_terms
linear-action,0.2686306427952637,0.1869112591546273,0.7738433900940791,3.0
cubic-action,0.2532050109536538,0.16126513445663995,0.7971367614694717,6.2
power-log-action,0.25439977570626093,0.16289326603587345,0.7958757032307925,5.4
power-log-state-action,0.3503845029711699,0.21155148264358625,0.5791539595128194,8.8
