candidate,seed,alpha,nonzero_terms,term_count,rmse_s,mae_s,r2
linear-action,11,0.010531055707361887,3,7,0.13467854007425378,0.10654489379024706,0.9644163157054029
linear-action,23,0.02964217810187076,3,7,0.15835458974873934,0.12072383654624254,0.9588652064200669
linear-action,37,0.0037413962607747778,4,7,0.5454049016792496,0.3101386074791759,0.42600514968903
linear-action,53,0.01198537661576262,2,7,0.21876853287149642,0.18737812087116248,0.625226660816067
linear-action,71,0.005515349441892861,3,7,0.28594664960257943,0.20977083708630864,0.8947036178398291
cubic-action,11,0.0007922758252752512,8,21,0.1038629895206828,0.0779857722246813,0.9788370722011251
cubic-action,23,0.008130408367887929,4,21,0.14457190305665757,0.1144076942316547,0.965714080033444
cubic-action,37,0.0001,12,21,0.5289902445580913,0.22331354613403434,0.4600354495274046
cubic-action,53,0.01552427173434794,4,21,0.19933544722190383,0.1794489810445169,0.6888512580659383
cubic-action,71,0.01198537661576262,3,21,0.2892644704109334,0.21116967864831243,0.8922459475194464
power-log-action,11,0.0011679270855560683,7,35,0.10748976038846597,0.08255323237142877,0.9773332997169187
power-log-action,23,0.008130408367887929,4,35,0.1445722833634511,0.11440788229912163,0.9657138996500477
power-log-action,37,0.00028147394644535966,9,35,0.5313369171465503,0.22688655581598768,0.4552341112016113
power-log-action,53,0.01552427173434794,4,35,0.19933544722190383,0.1794489810445169,0.6888512580659383
power-log-action,71,0.01198537661576262,3,35,0.2892644704109334,0.21116967864831243,0.8922459475194464
power-log-state-action,11,0.03839455716778906,5,55,0.17408459194519396,0.12728402933989427,0.9405468622562642
power-log-state-action,23,0.06441525999493217,4,55,0.22626930764187592,0.15177953854538742,0.916015467846276
power-log-state-action,37,0.0004722340555418245,16,55,0.5337957793647223,0.25503915758005535,0.4501804301069092
power-log-state-action,53,0.0003645841237070733,16,55,0.3868410163674616,0.23979840506152053,-0.17182837781206572
power-log-state-action,71,0.08343500851569784,3,55,0.43093181953659576,0.28385628269107377,0.7608554151667133
