candidate,mean_rmse_s,mean_mae_s,mean_r2,mean_nonzero_terms
linear-steps,0.6944795777649043,0.464262160183614,0.6868458479808085,2.0
bilinear-steps,0.6159436735993881,0.3649513113217705,0.7534243503095873,2.0
