epoch,train_mse,val_mse
111,16856.892483689,15889.061102544
112,16831.630574672,15838.408297995
113,16799.839261775,15826.884414755
114,16774.113906515,15775.591846569
115,16741.503887747,15755.323812163
116,16716.972472965,15729.735001446
117,16685.358968630,15686.981387336
118,16661.352444365,15670.667574210
119,16633.931495219,15639.125722822
120,16604.591920636,15604.064909406
121,16581.785816427,15583.145341413
122,16564.363347931,15565.942987423
123,16540.669809634,15511.224580763
124,16520.321342390,15530.098761565
125,16492.524398963,15488.139534744
126,16465.614934310,15470.792766962
127,16447.633926177,15455.260818234
128,16427.202743766,15447.386866326
129,16406.017785325,15379.609314765
130,16383.842702654,15348.307175212
131,16367.551166324,15374.203534599
132,16344.128340334,15286.499168755
133,16335.482884976,15278.459726773
134,16300.313075342,15262.416140613
135,16278.716730718,15226.072806236
136,16266.388417195,15203.881348786
137,16242.879926714,15235.969243928
138,16232.653096791,15165.537357845
139,16208.475511663,15142.571408780
140,16205.874206810,15160.254487519
141,16176.887210653,15107.024383192
142,16154.613280901,15078.041176754
143,16132.575207793,15092.804886276
144,16118.854187148,15022.804247783
145,16095.505809277,15014.367970557
146,16084.624095093,15006.770371530
147,16073.280945572,15006.939066114
148,16050.108812226,14960.663960100
149,16040.501295916,14974.971785852
150,16020.096791492,14937.855447668
151,16009.155956743,14927.134083462
152,15988.614129949,14904.337696367
153,15975.299490571,14877.602038358
154,15959.216998838,14883.261306139
155,15952.726070248,14849.088654106
156,15930.093976227,14836.069945066
157,15925.607114130,14814.337184368
158,15911.524845831,14831.810439958
159,15905.923228171,14836.257011372
160,15897.522968987,14781.951655262
161,15875.912413978,14769.076420345
162,15861.690767718,14730.474857845
163,15862.391098400,14766.689102255
164,15841.481991241,14742.855297080
165,15821.619134865,14702.049718099
166,15816.504647422,14709.991627313
167,15804.216551971,14694.018215112
168,15791.654616141,14682.345063126
169,15780.952632049,14652.508312452
170,15794.849897220,14619.525666201
171,15768.857002413,14615.558669044
172,15754.966395567,14678.205944005
173,15752.899499508,14642.384167791
174,15752.422870677,14583.547911045
175,15720.624899455,14657.201649239
176,15721.018723747,14588.876421550
177,15704.183707212,14578.654985062
178,15698.174099562,14579.009197909
179,15683.994369470,14540.846779828
180,15678.558003396,14516.214340786
181,15660.074716239,14588.503583992
182,15698.023505228,14592.604851340
183,15659.914603629,14561.339166104
184,15647.748279560,14490.040056380
185,15635.188041827,14508.058705185
186,15626.662704442,14471.024853026
187,15613.149387792,14509.473105002
188,15606.596433998,14480.101020384
189,15598.404727858,14463.465810524
190,15581.293234427,14461.822944776
191,15578.868084726,14441.019299345
192,15565.921261954,14415.488597485
193,15565.491062651,14439.468123554
194,15566.943694700,14383.010119507
195,15560.162704442,14409.630144082
196,15541.734918223,14387.741362278
197,15546.682545357,14381.012860206
198,15528.519751542,14419.083943716
199,15524.936812941,14365.983266673
200,15524.515685048,14364.771311199
201,15502.679104478,14328.741675501
202,15507.233264814,14407.087834907
203,15492.933818929,14337.251578161
204,15494.800875860,14338.600152997
205,15510.005004916,14420.709925549
206,15487.205961212,14320.619518601
207,15460.844624184,14320.449432585
208,15464.208374296,14297.326456486
209,15457.771069801,14301.490175646
210,15460.964563410,14300.392986218
211,15446.749575476,14292.732369169
212,15444.555188131,14298.010023130
213,15435.557914023,14276.328920104
214,15421.699168827,14246.963461353
215,15419.479622844,14233.871373843
216,15426.609125034,14252.620867868
217,15406.989141121,14268.381312645
218,15424.126731611,14256.485633915
219,15407.220886585,14250.860519468
220,15394.334256859,14229.365958703
221,15395.696174815,14183.458895528
222,15385.607292877,14297.411984387
223,15362.277951560,14197.300766191
224,15365.425998749,14201.855188657
225,15354.956162302,14189.915574402
226,15351.988738940,14185.448414611
227,15346.505273036,14239.435765227
228,15335.653186165,14180.639203450
229,15334.180355706,14174.895793177
230,15331.083832335,14184.941065921
231,15326.690410224,14163.043706631
232,15311.725489320,14134.076860062
233,15335.134953973,14166.060662828
234,15302.066627938,14240.755842810
235,15316.431182411,14142.715593678
236,15290.635043346,14161.270034214
237,15287.181204755,14115.940445499
238,15274.227768344,14186.062144613
239,15274.506166771,14103.608869025
240,15275.636026455,14122.648250771
241,15268.040173385,14133.351905840
242,15247.923228171,14146.906768022
243,15255.831843775,14126.553838184
244,15236.607560997,14128.116368302
245,15232.671552418,14091.527310621
246,15232.100411118,14085.696956920
247,15220.113459648,14144.024913261
248,15268.637858611,14067.694704125
249,15245.165966574,14090.819764360
250,15217.517472518,14073.006951137
251,15207.214138886,14076.657195692
252,15205.008222361,14038.418911430
253,15222.543927071,14115.609507517
254,15205.438198230,14071.028105725
255,15200.799088390,14057.085232749
256,15189.676333899,14129.999963859
257,15179.317499330,14079.051687789
258,15169.445392796,14051.804838088
259,15161.865135401,14054.820330571
260,15164.276879078,14076.270955811
261,15187.301099294,14045.291393601
262,15150.526231120,14066.192836835
263,15157.712619537,14036.089208269
264,15157.802663330,14033.769293321
265,15146.038788095,14053.513522793
266,15159.735454464,14207.443415093
267,15144.133970864,13998.509264167
268,15126.497542229,14021.884824354
269,15117.076012155,14029.591864640
270,15124.708106176,14001.930277805
271,15156.119224238,13987.986772359
272,15112.317588703,14051.390920152
273,15126.271963536,13992.046375048
274,15115.288810439,14007.700233712
275,15102.777504692,14011.530677766
276,15102.422691930,13994.309548477
277,15094.056528734,13984.301007132
278,15104.697604790,13961.602158828
279,15098.928277773,13951.787183163
280,15094.668424345,13976.479501976
281,15099.426088122,13910.745464293
282,15077.996067566,13952.321643697
283,15068.566225757,13996.128096087
284,15058.394360533,14011.653069584
285,15057.298954330,13959.080486218
286,15053.818661185,13952.476713088
287,15050.445616230,13951.259023227
288,15068.799579945,13921.630854857
289,15065.846992582,13922.656490941
290,15077.074760926,13910.335208655
291,15036.918982930,13984.398660370
292,15036.130351238,13977.891462269
293,15021.138439539,13970.782852255
294,15033.427741532,13922.865506939
295,15018.854097775,14060.355628373
296,15034.960273483,13927.930850039
297,15022.163642864,14011.805229616
298,15043.785190812,14020.431705378
299,15023.841808919,13917.837106062
