region-type,region-name,rows,mse,mae,physical-mse
action,low_bbar_low_hbar,645,13183.3740234375,90.60148620605469,658653.1875
action,low_bbar_high_hbar,652,15846.091796875,97.02432250976562,607465.4375
action,high_bbar_low_hbar,652,13907.5458984375,91.54149627685547,638432.5625
action,high_bbar_high_hbar,645,12713.5224609375,85.8184814453125,529307.25
state,low_energy_slow,1013,15403.1884765625,93.349609375,656236.0625
state,low_energy_fast,284,15649.486328125,96.51929473876953,262418.96875
state,high_energy_slow,284,9725.7392578125,76.6434097290039,128932.3359375
state,high_energy_fast,1013,13122.2861328125,91.80101776123047,792348.5625
