snapshot_index,snapshot_name,snapshot_dir,cases,success_rate,mean_completion_time_s,mean_solver_compute_time_s,mean_torque_abs_integral_nm_s,mean_total_steps,mean_rl_segments,mean_wall_time_s
1,online-critic_20260630T200713138931,artifacts/model-snapshots/online-critic_20260630T200713138931,1,1.0,2.72,5.60632962314412,0.4466233350365687,272.0,46.0,5.936047791998135
9,online-critic_20260630T201030850938,artifacts/model-snapshots/online-critic_20260630T201030850938,1,0.0,30.0,22.83562882686965,0.306854201887137,3000.0,1225.0,24.35939495798084
17,online-critic_20260630T201443601452,artifacts/model-snapshots/online-critic_20260630T201443601452,1,0.0,30.0,32.882961554365465,0.0,3000.0,3000.0,35.14340237498982
25,online-critic_20260630T201948423961,artifacts/model-snapshots/online-critic_20260630T201948423961,1,0.0,30.0,31.585740178416017,0.0985350680397892,3000.0,2940.0,33.68565929197939
33,online-critic_20260630T202426140540,artifacts/model-snapshots/online-critic_20260630T202426140540,1,0.0,30.0,23.589292144199135,0.1699982714320988,3000.0,1848.0,25.12547116697533
41,online-critic_20260630T202904854474,artifacts/model-snapshots/online-critic_20260630T202904854474,1,0.0,30.0,18.786644965497544,0.31537414925074175,3000.0,1354.0,19.97489116701763
49,online-critic_20260630T203329892195,artifacts/model-snapshots/online-critic_20260630T203329892195,1,0.0,30.0,32.494250587158604,0.0,3000.0,3000.0,34.68955554199056
57,online-critic_20260630T203749782729,artifacts/model-snapshots/online-critic_20260630T203749782729,1,0.0,30.0,24.408478457684396,0.2010241730831619,3000.0,1853.0,25.985753791988827
65,online-critic_20260630T204209704685,artifacts/model-snapshots/online-critic_20260630T204209704685,1,0.0,30.0,33.85123934672447,0.0,3000.0,3000.0,36.06843241598108
73,online-critic_20260630T204639900793,artifacts/model-snapshots/online-critic_20260630T204639900793,1,0.0,30.0,33.54294112836942,0.04379386116580047,3000.0,2892.0,35.81874175000121
81,online-critic_20260630T205133508282,artifacts/model-snapshots/online-critic_20260630T205133508282,1,0.0,30.0,34.85964790722937,0.0,3000.0,3000.0,36.95093625001027
89,online-critic_20260630T205537348864,artifacts/model-snapshots/online-critic_20260630T205537348864,1,0.0,30.0,36.779575474356534,0.0,3000.0,3000.0,39.12369404200581
97,online-critic_20260630T210038387220,artifacts/model-snapshots/online-critic_20260630T210038387220,1,0.0,30.0,36.68238523835316,0.0,3000.0,3000.0,39.03058862499893
105,online-critic_20260630T210542702463,artifacts/model-snapshots/online-critic_20260630T210542702463,1,0.0,30.0,35.490623184945434,0.0,3000.0,3000.0,37.66747137499624
113,online-critic_20260630T211042305147,artifacts/model-snapshots/online-critic_20260630T211042305147,1,0.0,30.0,28.517974103277083,0.08999926755101577,3000.0,2289.0,30.274781666026684
121,online-critic_20260630T211350154172,artifacts/model-snapshots/online-critic_20260630T211350154172,1,0.0,30.0,32.80804125079885,0.1472275399055085,3000.0,2681.0,34.86001750000287
