snapshot_index,snapshot_name,snapshot_dir,performance_epoch,performance_run_dir,status,goal_reached,total_steps,completion_time_s,solver_compute_time_s,environment_step_wall_time_s,total_wall_time_s,torque_abs_integral_nm_s,torque_signed_integral_nm_s,mean_abs_torque_nm,rl_segments,mean_bbar,mean_hbar,mean_burst_steps,mean_horizon_steps,final_theta_rad,final_omega_rad_s
13,online-critic_20260630T201252712744,artifacts/model-snapshots/online-critic_20260630T201252712744,14,artifacts/experiments/online-training-epoch-14_20260630T201252,goal_reached,True,1482,14.82,22.03881750095752,0.10741805919678882,25.73594333298388,3.8168162981376215,0.2463831067676277,0.25754495938850347,208,0.4054086538461539,0.059375,3.5384615384615383,12.639423076923077,6.269038105552668,0.043708409751402354
14,online-critic_20260630T201324634165,artifacts/model-snapshots/online-critic_20260630T201324634165,15,artifacts/experiments/online-training-epoch-15_20260630T201324,goal_reached,True,1432,14.32,15.634853666007984,0.09854018033365719,17.896899916988332,2.450432768048779,-0.21597731633025619,0.17111960670731696,172,0.6619186046511628,0.06686046511627906,2.9651162790697674,14.13953488372093,6.2691662224451985,0.044009322186474235
15,online-critic_20260630T201347023214,artifacts/model-snapshots/online-critic_20260630T201347023214,16,artifacts/experiments/online-training-epoch-16_20260630T201347,goal_reached,True,1318,13.18,19.227718955808086,0.10009458375861868,21.98581179100438,3.1779973184184303,0.5228801411149883,0.24112271004692187,192,0.2872395833333334,0.06627604166666667,3.1614583333333335,13.869791666666666,6.272858865847237,0.04189268707838138
16,online-critic_20260630T201414004490,artifacts/model-snapshots/online-critic_20260630T201414004490,17,artifacts/experiments/online-training-epoch-17_20260630T201414,goal_reached,True,1371,13.71,20.472550576989306,0.10142834854195826,23.698208749992773,2.9808328461609754,0.6453427373400505,0.21742033888847379,166,0.22981927710843372,0.07349397590361446,3.825301204819277,15.493975903614459,6.269266430399954,0.04359061189886209
17,online-critic_20260630T201443601452,artifacts/model-snapshots/online-critic_20260630T201443601452,18,artifacts/experiments/online-training-epoch-18_20260630T201443,goal_reached,True,1333,13.33,19.096138317050645,0.09333511488512158,22.41039537501638,2.682703867248149,0.02661296185518829,0.20125310331944105,185,0.42783783783783785,0.05824324324324324,3.2216216216216216,12.362162162162162,6.269560422798753,0.042857677904452
18,online-critic_20260630T201514091674,artifacts/model-snapshots/online-critic_20260630T201514091674,19,artifacts/experiments/online-training-epoch-19_20260630T201514,goal_reached,True,1266,12.66,29.15966999391094,0.13239923818036914,34.14977808299591,2.5875503567228795,0.3949750412426336,0.20438786388016425,140,0.6985714285714286,0.09482142857142857,5.192857142857143,19.764285714285716,0.013512529658826438,-0.04269209411298217
19,online-critic_20260630T201554656606,artifacts/model-snapshots/online-critic_20260630T201554656606,20,artifacts/experiments/online-training-epoch-20_20260630T201554,goal_reached,True,1265,12.65,24.421152866096236,0.12292978024925105,28.20952416700311,3.3025683261467145,-0.8423999086652046,0.26107259495230944,168,0.6747023809523809,0.06577380952380953,3.8214285714285716,13.970238095238095,0.012776627710723536,-0.04344625531477348
20,online-critic_20260630T201629875605,artifacts/model-snapshots/online-critic_20260630T201629875605,21,artifacts/experiments/online-training-epoch-21_20260630T201629,goal_reached,True,1304,13.040000000000001,30.481261428940343,0.11811220675008371,36.17238687502686,2.738554163715296,0.43238192008028337,0.2100118223708049,355,0.2726760563380282,0.042676056338028165,2.6169014084507043,9.312676056338027,-6.269209496632409,-0.04376555694751645
21,online-critic_20260630T201718877120,artifacts/model-snapshots/online-critic_20260630T201718877120,22,artifacts/experiments/online-training-epoch-22_20260630T201719,goal_reached,True,1026,10.26,23.19127353618387,0.09987811488099396,27.26494150000508,3.14653467957598,0.4453160499326533,0.30667979333099216,131,0.5572519083969466,0.06297709923664122,4.076335877862595,13.50381679389313,0.013742131532978126,-0.04299937581790966
22,online-critic_20260630T201753289960,artifacts/model-snapshots/online-critic_20260630T201753289960,23,artifacts/experiments/online-training-epoch-23_20260630T201753,goal_reached,True,1363,13.63,20.8014355590567,0.16153873509028926,24.14124087500386,2.798559164768502,1.5758044435126652,0.20532348971155553,266,0.381296992481203,0.030545112781954886,2.1353383458646618,6.954887218045113,6.271040541139705,0.04474350860148624
23,online-critic_20260630T201826126478,artifacts/model-snapshots/online-critic_20260630T201826126478,24,artifacts/experiments/online-training-epoch-24_20260630T201826,goal_reached,True,1775,17.75,30.432070569862844,0.17205750005086884,35.5879167910025,2.7761278741720594,1.227570134892487,0.15640157037589067,145,0.5337931034482759,0.09017241379310345,4.303448275862069,18.868965517241378,6.269174899143263,0.04389530410826391
24,online-critic_20260630T201907900798,artifacts/model-snapshots/online-critic_20260630T201907900798,25,artifacts/experiments/online-training-epoch-25_20260630T201907,goal_reached,True,1460,14.6,28.66508045908995,0.12692037591477856,33.71456349999062,2.9244352849047694,0.7187658900532468,0.20030378663731296,150,0.37116666666666664,0.085,4.38,17.713333333333335,6.26917127609296,0.04388540262739934
25,online-critic_20260630T201948423961,artifacts/model-snapshots/online-critic_20260630T201948423961,26,artifacts/experiments/online-training-epoch-26_20260630T201948,goal_reached,True,1456,14.56,27.15126587706618,0.14776880136923864,31.277719750010874,3.4602693838450787,0.6423729920020702,0.23765586427507407,240,0.5180208333333334,0.05239583333333334,3.029166666666667,11.295833333333333,6.272884527947739,0.04425461189903377
26,online-critic_20260630T202028588532,artifacts/model-snapshots/online-critic_20260630T202028588532,27,artifacts/experiments/online-training-epoch-27_20260630T202028,goal_reached,True,1677,16.77,25.16848971505533,0.12084333883831277,28.74032233300386,2.570021854180696,0.4014513117522061,0.15325115409544995,192,0.4350260416666667,0.08645833333333335,3.5104166666666665,17.958333333333332,6.269161847814191,0.04392009860446454
27,online-critic_20260630T202103801595,artifacts/model-snapshots/online-critic_20260630T202103801595,28,artifacts/experiments/online-training-epoch-28_20260630T202103,goal_reached,True,1338,13.38,24.078083329106448,0.11079875414725393,27.776584750012262,2.6890761819799183,0.5356151704778018,0.2009772931225649,220,0.32079545454545455,0.051704545454545454,3.2409090909090907,11.072727272727272,6.269382795004662,0.043231704857678695
28,online-critic_20260630T202139787175,artifacts/model-snapshots/online-critic_20260630T202139787175,29,artifacts/experiments/online-training-epoch-29_20260630T202139,goal_reached,True,817,8.17,24.021540164976614,0.060376379755325615,27.914401708025252,2.6795755363013916,-0.1293168654368423,0.32797742182391576,96,0.4554687500000001,0.11067708333333333,7.552083333333333,22.791666666666668,6.269450396538191,0.043318797471351395
29,online-critic_20260630T202211802086,artifacts/model-snapshots/online-critic_20260630T202211802086,30,artifacts/experiments/online-training-epoch-30_20260630T202211,goal_reached,True,1735,17.35,21.852990042127203,0.13989323636633344,24.591460166993784,2.882215023927766,-0.2698702465003437,0.16612190339641303,195,0.0696153846153846,0.07910256410256411,2.4256410256410255,16.353846153846153,0.01441001316478924,-0.043108729698297245
30,online-critic_20260630T202242172710,artifacts/model-snapshots/online-critic_20260630T202242172710,31,artifacts/experiments/online-training-epoch-31_20260630T202242,goal_reached,True,1195,11.950000000000001,19.63686634026817,0.09172034339280799,22.833832125004847,2.9471311216893774,-0.2321792455099666,0.2466218511873956,184,0.3125,0.054891304347826096,3.119565217391304,11.766304347826088,0.013756224472131928,-0.04339200007929364
31,online-critic_20260630T202310955329,artifacts/model-snapshots/online-critic_20260630T202310955329,32,artifacts/experiments/online-training-epoch-32_20260630T202311,goal_reached,True,1428,14.280000000000001,28.254436451155925,0.11175354834995233,32.95766608402482,3.4577924929826795,1.6994568390683684,0.2421423314413641,195,0.4507692307692307,0.06794871794871794,3.835897435897436,14.446153846153846,6.269500997391095,0.04288120989374918
32,online-critic_20260630T202350631891,artifacts/model-snapshots/online-critic_20260630T202350631891,33,artifacts/experiments/online-training-epoch-33_20260630T202350,goal_reached,True,1314,13.14,24.434570666082436,0.09670634008944035,28.862847167009022,3.3580598922676526,0.5844777874953662,0.2555601135667924,174,0.32916666666666666,0.07456896551724139,4.017241379310345,15.816091954022989,6.269489088216538,0.042772025163249926
33,online-critic_20260630T202426140540,artifacts/model-snapshots/online-critic_20260630T202426140540,34,artifacts/experiments/online-training-epoch-34_20260630T202426,goal_reached,True,1457,14.57,33.64531778387027,0.11902715783799067,38.808365999982925,2.9214850459128234,0.5317792376742769,0.2005137299871533,269,0.2992565055762082,0.0675650557620818,3.591078066914498,14.275092936802974,12.552515146132594,0.04343133522326941
34,online-critic_20260630T202512678007,artifacts/model-snapshots/online-critic_20260630T202512678007,35,artifacts/experiments/online-training-epoch-35_20260630T202512,goal_reached,True,1731,17.31,27.259875917166937,0.16469751021941192,32.25298958297935,2.881693452782216,-1.015438631489939,0.16647564718556998,276,0.7172101449275362,0.04574275362318841,2.75,10.054347826086957,6.269514384926526,0.042811652277072815
35,online-critic_20260630T202555092959,artifacts/model-snapshots/online-critic_20260630T202555092959,36,artifacts/experiments/online-training-epoch-36_20260630T202555,goal_reached,True,1381,13.81,35.40841795472079,0.1200788700080011,39.3255827499961,2.531556603614599,0.0017592692464315186,0.18331329497571316,158,0.4808544303797468,0.20332278481012658,3.632911392405063,41.46835443037975,6.269188150117084,0.04382881194114084
36,online-critic_20260630T202639663381,artifacts/model-snapshots/online-critic_20260630T202639663381,37,artifacts/experiments/online-training-epoch-37_20260630T202639,goal_reached,True,1357,13.57,26.134505870955763,0.10000204868265428,30.590372166014276,2.80410786699869,0.4556146776909534,0.206640226013168,201,0.25733830845771144,0.07101990049751244,4.014925373134329,14.965174129353233,6.277679003175941,0.04424473200617883
37,online-critic_20260630T202717523920,artifacts/model-snapshots/online-critic_20260630T202717523920,38,artifacts/experiments/online-training-epoch-38_20260630T202717,goal_reached,True,1164,11.64,22.064291421993403,0.08045743228285573,25.784623624989763,2.7944451334377125,-0.49123128859979803,0.2400726059654392,126,0.6718253968253967,0.0876984126984127,5.277777777777778,18.38888888888889,6.269175567600102,0.043468730059604686
38,online-critic_20260630T202746901550,artifacts/model-snapshots/online-critic_20260630T202746901550,39,artifacts/experiments/online-training-epoch-39_20260630T202746,goal_reached,True,1341,13.41,16.71108345684479,0.09240150594268925,19.37361554201925,2.2812624375026505,-0.1294564188820284,0.1701165128637323,238,0.40105042016806725,0.048424369747899154,2.3445378151260505,10.470588235294118,6.269140948227161,0.04312792954127838
39,online-critic_20260630T202812347746,artifacts/model-snapshots/online-critic_20260630T202812347746,40,artifacts/experiments/online-training-epoch-40_20260630T202812,goal_reached,True,1349,13.49,18.866509794228477,0.08523091155802831,21.94439991598483,2.72083751188983,1.226900729640026,0.20169292156336768,159,0.5448113207547169,0.07845911949685536,3.742138364779874,16.452830188679247,6.269976400899436,0.043768823999571556
40,online-critic_20260630T202838778387,artifacts/model-snapshots/online-critic_20260630T202838778387,41,artifacts/experiments/online-training-epoch-41_20260630T202838,goal_reached,True,1250,12.5,18.157447786041303,0.08139063452836126,21.089385083003435,2.8170066055993868,1.3316827026584088,0.22536052844795096,136,0.215625,0.08823529411764706,4.051470588235294,18.264705882352942,0.013929214244248308,-0.04419652203653569
41,online-critic_20260630T202904854474,artifacts/model-snapshots/online-critic_20260630T202904854474,42,artifacts/experiments/online-training-epoch-42_20260630T202904,goal_reached,True,1465,14.65,34.81851099306368,0.1171582154056523,38.602133915992454,2.613928279691678,1.2282398374414083,0.17842513854550704,154,0.08068181818181819,0.22110389610389614,3.5324675324675323,44.95454545454545,0.009080759081428354,-0.04529084765643964
42,online-critic_20260630T202949187618,artifacts/model-snapshots/online-critic_20260630T202949187618,43,artifacts/experiments/online-training-epoch-43_20260630T202949,goal_reached,True,1619,16.19,19.05582266426063,0.1525421736878343,22.898244624986546,2.7140244603786847,0.5527697072100998,0.16763585301906636,192,0.2971354166666667,0.04583333333333334,2.4791666666666665,10.0,6.2682750468762,0.043621242439657475
43,online-critic_20260630T203020293977,artifacts/model-snapshots/online-critic_20260630T203020293977,44,artifacts/experiments/online-training-epoch-44_20260630T203020,goal_reached,True,1723,17.23,20.27077432308579,0.14663229932193644,23.057590666983742,2.5437160649444346,0.4741058499720768,0.1476329695266648,235,0.07223404255319149,0.05648936170212767,2.3148936170212764,11.953191489361702,6.269428445485285,0.0431366756871972
44,online-critic_20260630T203050517396,artifacts/model-snapshots/online-critic_20260630T203050517396,45,artifacts/experiments/online-training-epoch-45_20260630T203050,goal_reached,True,1302,13.02,16.293165334966034,0.08989832588122226,19.02990300001693,3.1713773795272773,1.6509935680098315,0.24357737169948365,97,0.41469072164948445,0.09329896907216494,4.587628865979381,19.463917525773194,0.01342782628046772,-0.04335684625592961
45,online-critic_20260630T203113087129,artifacts/model-snapshots/online-critic_20260630T203113087129,46,artifacts/experiments/online-training-epoch-46_20260630T203113,goal_reached,True,2038,20.38,32.12156941709691,0.12932886061025783,35.52190766698914,2.900537170369245,-0.39347290749519537,0.1423227267109541,141,0.11702127659574468,0.3017730496453901,4.3120567375886525,61.04964539007092,0.01419271654160973,-0.043781043653766394
46,online-critic_20260630T203151930631,artifacts/model-snapshots/online-critic_20260630T203151930631,47,artifacts/experiments/online-training-epoch-47_20260630T203151,goal_reached,True,1212,12.120000000000001,21.09082938017673,0.0715814305585809,24.6836847079976,2.7497048588515076,0.21127381186230296,0.2268733381890683,130,0.40634615384615386,0.10173076923076924,5.7,21.16923076923077,0.006040952333836562,-0.04645286569156733
47,online-critic_20260630T203220013601,artifacts/model-snapshots/online-critic_20260630T203220013601,48,artifacts/experiments/online-training-epoch-48_20260630T203220,goal_reached,True,1427,14.27,24.04681450308999,0.09141400089720264,27.985074791999068,2.570841326955981,-0.39812835326082174,0.18015706565914372,282,0.6516843971631205,0.06436170212765958,3.382978723404255,13.677304964539006,12.552309673234923,0.0440329910128608
48,online-critic_20260630T203254164781,artifacts/model-snapshots/online-critic_20260630T203254164781,49,artifacts/experiments/online-training-epoch-49_20260630T203254,goal_reached,True,1366,13.66,23.94605745456647,0.09038677997887135,28.115004000021145,2.5948681369057476,0.27767177062520143,0.1899610641951499,268,0.05858208955223881,0.05652985074626865,3.1529850746268657,12.164179104477611,-6.269288308019386,-0.043519862710614185
49,online-critic_20260630T203329892195,artifacts/model-snapshots/online-critic_20260630T203329892195,50,artifacts/experiments/online-training-epoch-50_20260630T203329,goal_reached,True,1487,14.870000000000001,22.370229127118364,0.09251971705816686,26.29310749997967,3.0423144403699145,0.7059925810163818,0.2045941116590393,268,0.5357276119402985,0.048600746268656715,3.0559701492537314,10.623134328358208,6.270029445055602,0.04353202786210542
50,online-critic_20260630T203402206809,artifacts/model-snapshots/online-critic_20260630T203402206809,51,artifacts/experiments/online-training-epoch-51_20260630T203402,goal_reached,True,1510,15.1,30.966077348042745,0.09510120897903107,35.95387912497972,2.9545004110172357,0.6280902907706196,0.19566227887531362,286,0.11993006993006992,0.07071678321678322,3.8846153846153846,14.954545454545455,12.552375522462286,0.0438261421278503
51,online-critic_20260630T203444452483,artifacts/model-snapshots/online-critic_20260630T203444452483,52,artifacts/experiments/online-training-epoch-52_20260630T203444,goal_reached,True,638,6.38,10.316244415880647,0.03926399213378318,12.177769333007745,2.7963962068348414,0.12247819215855224,0.4383066154913544,52,0.6312500000000001,0.10288461538461538,7.1923076923076925,21.442307692307693,0.036750822101421596,-0.03218323052885329
52,online-critic_20260630T203458708953,artifacts/model-snapshots/online-critic_20260630T203458708953,53,artifacts/experiments/online-training-epoch-53_20260630T203458,goal_reached,True,1422,14.22,21.87804345902987,0.08948203842737712,25.71866625000257,3.3508035239637888,1.7914418565480115,0.23564019155863494,276,0.03831521739130435,0.04800724637681159,2.8731884057971016,10.53623188405797,0.014078637165158336,-0.044084587090450315
53,online-critic_20260630T203532188533,artifacts/model-snapshots/online-critic_20260630T203532188533,54,artifacts/experiments/online-training-epoch-54_20260630T203532,goal_reached,True,1377,13.77,13.547963875811547,0.0909841250104364,15.584864792006556,2.892222281128088,0.5276409371634363,0.2100379289127152,161,0.2453416149068323,0.05295031055900622,2.68944099378882,11.478260869565217,0.03948858271238503,-0.03333883688140931
54,online-critic_20260630T203552915567,artifacts/model-snapshots/online-critic_20260630T203552915567,55,artifacts/experiments/online-training-epoch-55_20260630T203552,goal_reached,True,1300,13.0,41.25338929318241,0.10829292557900771,45.461687584000174,2.9009994901661624,0.8836143841157877,0.22315380693585862,187,0.10815508021390376,0.21911764705882353,3.1176470588235294,44.68983957219251,0.01366824705409831,-0.04281985571608022
55,online-critic_20260630T203644240502,artifacts/model-snapshots/online-critic_20260630T203644240502,56,artifacts/experiments/online-training-epoch-56_20260630T203644,goal_reached,True,1071,10.71,25.235829128709156,0.08687878199270926,29.46839033300057,2.519787491940272,0.42229788800823287,0.23527427562467526,177,0.36257062146892655,0.06440677966101696,3.824858757062147,13.836158192090396,6.2684979483286964,0.04379370711571976
56,online-critic_20260630T203719147439,artifacts/model-snapshots/online-critic_20260630T203719147439,57,artifacts/experiments/online-training-epoch-57_20260630T203719,goal_reached,True,1245,12.450000000000001,20.716975712100975,0.08212203724542633,24.217280457989546,3.2381775763078195,0.4773220812201958,0.26009458444239514,192,0.08541666666666668,0.05846354166666667,3.6041666666666665,12.546875,0.014075882413603615,-0.044080495108840684
57,online-critic_20260630T203749782729,artifacts/model-snapshots/online-critic_20260630T203749782729,58,artifacts/experiments/online-training-epoch-58_20260630T203749,goal_reached,True,1104,11.040000000000001,45.86863462696783,0.0819170159229543,49.93235874999664,3.480778276830229,0.06022547927937943,0.31528788739404245,149,0.07751677852348994,0.35335570469798655,4.208053691275167,71.57046979865771,6.2795395122041056,0.04485114803039138
58,online-critic_20260630T203844467200,artifacts/model-snapshots/online-critic_20260630T203844467200,59,artifacts/experiments/online-training-epoch-59_20260630T203844,goal_reached,True,781,7.8100000000000005,17.30286412409623,0.06288485124241561,20.30640320800012,2.804433115579277,1.0959835926694264,0.35908234514459375,148,0.1366554054054054,0.05185810810810811,3.7972972972972974,11.25,6.277251561928561,0.04644090053644579
59,online-critic_20260630T203910297269,artifacts/model-snapshots/online-critic_20260630T203910297269,60,artifacts/experiments/online-training-epoch-60_20260630T203910,goal_reached,True,1360,13.6,26.984252416994423,0.12948261079145595,31.72668412499479,3.230864253409675,1.154564019584045,0.23756354804482904,183,0.5047814207650273,0.06352459016393443,4.33879781420765,13.62295081967213,6.269164254253668,0.04382806282895009
60,online-critic_20260630T203947775433,artifacts/model-snapshots/online-critic_20260630T203947775433,61,artifacts/experiments/online-training-epoch-61_20260630T203947,goal_reached,True,1410,14.1,26.082730950205587,0.11458192791906185,30.41180687499582,3.7148301175910605,0.29912299562593364,0.2634631289071674,243,0.09711934156378602,0.04794238683127571,2.9176954732510287,10.518518518518519,6.269634111126678,0.042874177704528726
61,online-critic_20260630T204027096295,artifacts/model-snapshots/online-critic_20260630T204027096295,62,artifacts/experiments/online-training-epoch-62_20260630T204027,goal_reached,True,1521,15.21,18.513693209039047,0.11333695179200731,21.61178624999593,3.4218051769333426,0.5009558194754367,0.22497075456497978,242,0.5085743801652892,0.04400826446280992,2.9214876033057853,9.62809917355372,6.269235381302873,0.043659681340057876
62,online-critic_20260630T204056204613,artifacts/model-snapshots/online-critic_20260630T204056204613,63,artifacts/experiments/online-training-epoch-63_20260630T204056,goal_reached,True,1421,14.21,23.888082370045595,0.1113209001487121,27.589755583991064,3.091498511996688,-0.36498776898413854,0.21755795299061842,168,0.16205357142857144,0.09255952380952383,3.6488095238095237,19.053571428571427,6.274489570598196,0.044497310755869816
63,online-critic_20260630T204128933294,artifacts/model-snapshots/online-critic_20260630T204128933294,64,artifacts/experiments/online-training-epoch-64_20260630T204128,goal_reached,True,1124,11.24,16.456500294036232,0.07318165188189596,19.238173041987466,3.39988250025987,-0.19051675010979138,0.30248064948931225,141,0.397872340425532,0.06312056737588653,4.219858156028369,13.418439716312056,6.2693337759303684,0.0433717196300029
64,online-critic_20260630T204152753211,artifacts/model-snapshots/online-critic_20260630T204152753211,65,artifacts/experiments/online-training-epoch-65_20260630T204152,goal_reached,True,781,7.8100000000000005,10.114138829929288,0.04641687293769792,11.8402629159973,2.8042942004492573,0.09201206146353244,0.3590645583161661,131,0.14942748091603056,0.039312977099236646,3.3969465648854964,8.625954198473282,6.268642858245721,0.04341189772150915
65,online-critic_20260630T204209704685,artifacts/model-snapshots/online-critic_20260630T204209704685,66,artifacts/experiments/online-training-epoch-66_20260630T204209,goal_reached,True,922,9.22,14.890241991786752,0.07861071790102869,17.359438541025156,3.2362707300560873,0.19427001833043014,0.35100550217528065,225,0.5605555555555556,0.029555555555555557,2.471111111111111,6.848888888888889,0.02975585976534903,-0.03614893760564159
66,online-critic_20260630T204236010636,artifacts/model-snapshots/online-critic_20260630T204236010636,67,artifacts/experiments/online-training-epoch-67_20260630T204236,goal_reached,True,803,8.03,24.977007335372036,0.056877153780078515,29.345184582984075,2.4664910623581062,-0.002094442833168415,0.30715953454023737,142,0.29066901408450696,0.06954225352112677,5.366197183098592,14.76056338028169,6.269323759371616,0.043433870349003915
67,online-critic_20260630T204309278411,artifacts/model-snapshots/online-critic_20260630T204309278411,68,artifacts/experiments/online-training-epoch-68_20260630T204309,goal_reached,True,801,8.01,14.161761041992577,0.06022486899746582,16.737395917007234,2.6213375676606887,0.2382506794142644,0.32725812330345677,123,0.7323170731707316,0.05650406504065041,4.211382113821138,12.195121951219512,6.269314141029765,0.043434118413879556
68,online-critic_20260630T204330783218,artifacts/model-snapshots/online-critic_20260630T204330783218,69,artifacts/experiments/online-training-epoch-69_20260630T204330,goal_reached,True,1122,11.22,29.935200590873137,0.08823671075515449,34.97098341700621,3.0518034534310265,1.0447694689957296,0.27199674273003804,228,0.3375000000000001,0.06710526315789474,3.973684210526316,14.350877192982455,6.269464482015233,0.042842703642459845
69,online-critic_20260630T204412333042,artifacts/model-snapshots/online-critic_20260630T204412333042,70,artifacts/experiments/online-training-epoch-70_20260630T204412,goal_reached,True,1737,17.37,21.678271206910722,0.12014383074711077,24.848993042018265,2.3106699909403745,0.561673876277721,0.13302648191942282,206,0.4275485436893205,0.07694174757281554,3.1699029126213594,16.116504854368934,6.269173582444052,0.043714870568428515
70,online-critic_20260630T204444697264,artifacts/model-snapshots/online-critic_20260630T204444697264,71,artifacts/experiments/online-training-epoch-71_20260630T204444,goal_reached,True,1236,12.36,34.09291625401238,0.09144355225726031,38.31953725000494,2.3775182670437123,-0.5670820040943239,0.1923558468481968,125,0.295,0.23120000000000002,5.872,46.952,0.013915483210775252,-0.04365275358707214
71,online-critic_20260630T204526587616,artifacts/model-snapshots/online-critic_20260630T204526587616,72,artifacts/experiments/online-training-epoch-72_20260630T204526,goal_reached,True,988,9.88,23.495656626939308,0.07826744610792957,27.470877249987097,2.8514648331589645,-0.4323403575936126,0.28860980092702065,127,0.6651574803149607,0.07381889763779528,5.275590551181103,15.535433070866143,0.013948447792826628,-0.043760262131550494
